contract_supplier_id,bought_amount,contract_date,has_insurance,is_terminated,material_id,no_money_penalty,price_per_unit,supplier_id,terminate_penalty,transport_type,transportation_cost,team_id
714,100000,2022-01-22,1,0,3,0,5.6,13,392000,3,48825,112
715,100000,2022-01-29,1,0,3,0,8.4,13,392000,3,48825,112
716,100000,2022-02-05,1,0,3,0,7.98,13,392000,3,48825,112
717,100000,2022-02-12,1,0,3,0,8.379,13,392000,3,48825,112
718,100000,2022-02-19,1,0,3,0,7.96005,13,392000,3,48825,112
719,100000,2022-02-26,1,0,3,0,8.35805,13,392000,3,48825,112
720,80000,2021-12-25,1,0,3,0,8,2,313600,2,120120,88
721,80000,2022-01-01,1,0,3,0,8,2,313600,2,120120,88
722,80000,2022-01-08,1,0,3,0,8,2,313600,2,120120,88
723,80000,2022-01-15,1,0,3,0,8,2,313600,2,120120,88
724,80000,2022-01-22,1,0,3,0,7.2,2,313600,2,120120,88
725,7500,2021-12-26,0,0,15,0,25,9,91875,2,121600,262
726,2000,2021-12-26,0,0,15,0,25,6,24500,3,109500,223
727,3,2021-12-26,1,0,15,0,25,3,36.75,1,76545,154
728,3,2022-01-02,1,0,15,0,25,3,36.75,1,76545,154
729,3,2022-01-09,1,0,15,0,25,3,36.75,1,76545,154
730,10000,2021-12-26,1,0,15,0,25,2,122500,2,91140,14
731,500,2021-12-26,0,0,11,0,30,6,7350,0,370000,139
732,500,2022-01-02,0,0,11,0,30,6,7350,0,370000,139
733,500,2022-01-09,0,0,11,0,30,6,7350,0,370000,139
734,25,2021-12-26,1,0,14,0,20,4,245,3,175770,54
735,3,2021-12-26,1,0,11,0,30,14,44.1,3,131670,96
736,3,2022-01-02,1,0,11,0,30,14,44.1,3,131670,96
737,3,2022-01-09,1,0,11,0,30,14,44.1,3,131670,96
738,4000,2021-12-26,1,0,6,0,15,2,29400,2,128520,213
739,4000,2022-01-02,1,0,6,0,15,2,29400,2,128520,213
740,4000,2022-01-09,1,0,6,0,15,2,29400,2,128520,213
741,30,2021-12-26,1,0,14,0,20,2,294,2,74340,68
742,40,2021-12-26,0,0,14,0,20,2,392,0,635000,35
743,40,2022-01-02,0,0,14,0,20,2,392,0,635000,35
744,40,2022-01-09,0,0,14,0,20,2,392,0,635000,35
745,40,2022-01-16,0,0,14,0,20,2,392,0,635000,35
746,40,2022-01-23,0,0,14,0,21,2,392,0,635000,35
747,900,2021-12-26,1,0,11,0,30,8,13230,3,40320,144
748,200000,2021-12-26,1,0,14,0,20,2,1960000,2,108780,29
749,200000,2022-01-02,1,0,14,0,20,2,1960000,2,108780,29
750,200000,2022-01-09,1,0,14,0,20,2,1960000,2,108780,29
751,200000,2022-01-16,1,0,14,0,20,2,1960000,2,108780,29
752,200000,2022-01-23,1,0,14,0,21,2,1960000,2,108780,29
753,200000,2022-01-30,1,0,14,0,22.05,2,1960000,2,108780,29
754,200000,2022-02-06,1,0,14,0,23.1525,2,1960000,2,108780,29
755,200000,2022-02-13,1,0,14,2243480,21.9949,2,1960000,2,NULL,29
756,200000,2022-02-20,1,0,14,2019130,19.7954,2,1960000,2,NULL,29
757,200000,2022-02-27,1,0,14,1918170,18.8056,2,1960000,2,NULL,29
758,102,2021-12-26,0,0,11,0,30,14,1499.4,2,192000,147
759,102,2022-01-02,0,0,11,0,30,14,1499.4,2,192000,147
760,102,2022-01-09,0,0,11,0,30,14,1499.4,2,192000,147
761,102,2022-01-16,0,0,11,0,30,14,1499.4,2,192000,147
762,1000,2021-12-26,0,0,15,0,25,4,12250,3,149100,53
763,4,2021-12-26,0,0,13,0,30,4,58.8,0,1475000,73
764,4,2022-01-02,0,0,13,0,30,4,58.8,0,1475000,73
765,300,2021-12-26,0,0,11,0,30,6,4410,2,32800,139
766,300,2022-01-02,0,0,11,0,30,6,4410,2,32800,139
767,300,2021-12-26,1,0,15,0,25,12,3675,2,68880,246
768,300,2022-01-02,1,0,15,0,25,12,3675,2,68880,246
769,300,2022-01-09,1,0,15,0,25,12,3675,2,68880,246
770,300,2021-12-26,0,0,11,0,30,6,4410,2,32800,139
771,300,2022-01-02,0,0,11,0,30,6,4410,2,32800,139
772,600,2021-12-26,1,0,14,0,20,2,5880,3,70560,36
773,600,2022-01-02,1,0,14,0,20,2,5880,3,70560,36
774,12,2021-12-26,1,0,14,0,20,8,117.6,3,37800,89
775,100000,2021-12-26,1,0,1,0,4,1,196000,2,84420,31
776,100000,2022-01-02,1,0,1,0,4,1,196000,2,84420,31
777,100000,2022-01-09,1,0,1,0,4,1,196000,2,84420,31
778,100000,2022-01-16,1,0,1,0,4,1,196000,2,84420,31
779,100000,2022-01-23,1,0,1,0,4.4,1,196000,2,84420,31
780,300,2021-12-26,0,0,11,0,30,6,4410,2,32800,139
781,300,2022-01-02,0,0,11,0,30,6,4410,2,32800,139
782,1,2021-12-26,1,0,14,0,20,2,9.8,1,54810,277
783,1,2022-01-02,1,0,14,0,20,2,9.8,1,54810,277
784,1,2022-01-09,1,0,14,0,20,2,9.8,1,54810,277
785,1,2022-01-16,1,0,14,0,20,2,9.8,1,54810,277
786,1000000,2021-12-26,1,0,3,0,8,13,3920000,2,21420,155
787,300,2021-12-26,0,0,11,0,30,6,4410,2,32800,139
788,300,2022-01-02,0,0,11,0,30,6,4410,2,32800,139
789,300,2021-12-26,0,0,11,0,30,6,4410,2,32800,139
790,300,2022-01-02,0,0,11,0,30,6,4410,2,32800,139
791,1,2021-12-26,0,0,14,0,20,1,9.8,3,188100,70
792,300,2021-12-26,0,0,11,0,30,6,4410,2,32800,139
793,300,2022-01-02,0,0,11,0,30,6,4410,2,32800,139
794,9,2021-12-26,1,0,11,0,30,14,132.3,2,64260,50
795,9,2022-01-02,1,0,11,0,30,14,132.3,2,64260,50
796,9,2021-12-26,1,0,14,0,20,10,88.2,3,61740,146
797,9,2022-01-02,1,0,14,0,20,10,88.2,3,61740,146
798,1500,2021-12-26,1,0,15,0,25,11,18375,2,60060,23
799,200000,2021-12-26,1,0,14,0,20,14,1960000,3,41895,188
800,200000,2022-01-02,1,0,14,0,20,14,1960000,3,41895,188
801,15000,2021-12-26,0,0,1,0,4,8,29400,3,124800,250
802,1256,2021-12-26,1,0,1,0,4,8,2461.76,3,108675,193
803,16000,2021-12-26,0,0,1,0,4,8,31360,1,227250,141
804,20,2021-12-26,0,0,6,0,15,6,147,2,130000,18
805,20,2022-01-02,0,0,6,0,15,6,147,2,130000,18
806,500,2021-12-26,0,0,2,0,80,10,19600,2,155600,138
807,500,2022-01-02,0,0,2,0,80,10,19600,2,155600,138
808,500,2022-01-09,0,0,2,0,80,10,19600,2,155600,138
809,500,2022-01-16,0,0,2,0,80,10,19600,2,155600,138
810,500,2022-01-23,0,0,2,0,100,10,19600,2,155600,138
811,500,2022-01-30,0,0,2,0,40,10,19600,2,155600,138
812,500,2022-02-06,0,0,2,12240,48,10,19600,2,NULL,138
813,500,2022-02-13,0,0,2,12852,50.4,10,19600,2,NULL,138
814,500,2022-02-20,0,0,2,0,40,10,19600,2,155600,138
815,500,2022-02-27,0,0,2,0,40,10,19600,2,155600,138
816,3000,2021-12-26,1,0,5,0,20,6,29400,2,193620,213
817,3000,2022-01-02,1,0,5,0,20,6,29400,2,193620,213
818,3000,2022-01-09,1,0,5,0,20,6,29400,2,193620,213
819,200,2021-12-26,0,0,12,0,30,14,2940,0,745000,59
820,200,2022-01-02,0,1,12,0,NULL,14,2940,0,NULL,59
821,200,2022-01-09,0,1,12,0,NULL,14,2940,0,NULL,59
822,200,2022-01-16,0,1,12,0,NULL,14,2940,0,NULL,59
823,200,2022-01-23,0,0,12,0,28.5,14,2940,0,745000,59
824,200,2022-01-30,0,1,12,0,NULL,14,2940,0,NULL,59
825,200,2022-02-06,0,1,12,0,NULL,14,2940,0,NULL,59
826,200,2022-02-13,0,1,12,0,NULL,14,2940,0,NULL,59
827,200,2022-02-20,0,1,12,0,NULL,14,2940,0,NULL,59
828,60,2021-12-26,0,0,15,0,25,13,735,1,50850,55
829,1000,2021-12-26,1,0,12,0,30,3,14700,1,171990,65
830,32000,2021-12-26,1,0,1,0,4,5,62720,3,83475,88
831,32000,2022-01-02,1,0,1,0,4,5,62720,3,83475,88
832,32000,2022-01-09,1,0,1,0,4,5,62720,3,83475,88
833,32000,2022-01-16,1,0,1,0,4,5,62720,3,83475,88
834,32000,2022-01-23,1,0,1,0,4.2,5,62720,3,83475,88
835,32000,2022-01-30,1,0,1,0,2.73,5,62720,3,83475,88
836,32000,2022-02-06,1,0,1,0,3.1395,5,62720,3,83475,88
837,32000,2022-02-13,1,0,1,43551.2,2.66858,5,62720,3,NULL,88
838,32000,2022-02-20,1,0,1,41373.6,2.53515,5,62720,3,NULL,88
839,32000,2022-02-27,1,0,1,43442.4,2.66191,5,62720,3,NULL,88
840,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
841,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
842,600,2021-12-26,1,0,12,0,30,14,8820,2,203280,246
843,600,2022-01-02,1,0,12,0,30,14,8820,2,203280,246
844,300,2021-12-26,0,0,11,0,30,6,4410,0,370000,139
845,600,2022-01-09,1,0,12,0,30,14,8820,2,203280,246
846,300,2022-01-02,0,0,11,0,30,6,4410,0,370000,139
847,300,2022-01-09,0,0,11,0,30,6,4410,0,370000,139
848,300,2021-12-26,0,0,11,0,30,6,4410,0,370000,139
849,300,2022-01-02,0,0,11,0,30,6,4410,0,370000,139
850,300,2022-01-09,0,0,11,0,30,6,4410,0,370000,139
851,200,2021-12-26,0,0,12,0,30,1,2940,3,44100,43
852,30000,2021-12-26,1,0,2,0,80,3,1176000,1,260347,169
853,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
854,300,2021-12-26,0,0,11,0,30,6,4410,0,370000,139
855,300,2022-01-02,0,0,11,0,30,6,4410,0,370000,139
856,300,2022-01-09,0,0,11,0,30,6,4410,0,370000,139
857,300,2021-12-26,0,0,11,0,30,6,4410,0,370000,139
858,300,2022-01-02,0,0,11,0,30,6,4410,0,370000,139
859,300,2022-01-09,0,0,11,0,30,6,4410,0,370000,139
860,600,2021-12-26,1,0,12,0,30,14,8820,2,203280,246
861,600,2022-01-02,1,0,12,0,30,14,8820,2,203280,246
862,600,2022-01-09,1,0,12,0,30,14,8820,2,203280,246
863,3,2021-12-26,1,0,14,0,20,4,29.4,3,45990,96
864,3,2022-01-02,1,0,14,0,20,4,29.4,3,45990,96
865,3,2022-01-09,1,0,14,0,20,4,29.4,3,45990,96
866,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
867,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
868,2000,2021-12-26,0,0,14,0,20,6,19600,3,109500,223
869,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
870,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
871,600,2021-12-26,1,0,12,0,30,14,8820,2,203280,246
872,600,2022-01-02,1,0,12,0,30,14,8820,2,203280,246
873,600,2022-01-09,1,0,12,0,30,14,8820,2,203280,246
874,100,2021-12-26,0,0,11,0,30,14,1470,0,1345000,35
875,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
876,100,2022-01-02,0,0,11,0,30,14,1470,0,1345000,35
877,100,2022-01-09,0,0,11,0,30,14,1470,0,1345000,35
878,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
879,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
880,3,2021-12-26,1,0,14,0,20,4,29.4,3,45990,96
881,3,2022-01-02,1,0,14,0,20,4,29.4,3,45990,96
882,3,2022-01-09,1,0,14,0,20,4,29.4,3,45990,96
883,500,2021-12-26,1,0,2,0,80,4,19600,3,97335,81
884,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
885,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
886,3,2021-12-26,1,0,14,0,20,4,29.4,3,45990,96
887,3,2022-01-02,1,0,14,0,20,4,29.4,3,45990,96
888,3,2022-01-09,1,0,14,0,20,4,29.4,3,45990,96
889,6,2021-12-26,1,0,2,0,80,10,235.2,3,61740,146
890,6,2022-01-02,1,0,2,0,80,10,235.2,3,61740,146
891,600,2021-12-26,1,0,12,0,30,14,8820,2,203280,246
892,600,2022-01-02,1,0,12,0,30,14,8820,2,203280,246
893,600,2022-01-09,1,0,12,0,30,14,8820,2,203280,246
894,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
895,50000,2021-12-26,1,0,15,0,25,1,612500,3,81270,259
896,1500,2021-12-26,1,0,11,0,30,6,22050,1,160650,102
897,667,2021-12-26,1,0,14,0,20,4,6536.6,3,156240,13
898,1200,2021-12-26,1,0,14,0,20,8,11760,3,40320,144
899,667,2022-01-02,1,0,14,0,20,4,6536.6,3,156240,13
900,667,2022-01-09,1,0,14,0,20,4,6536.6,3,156240,13
901,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
902,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
903,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
904,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
905,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
906,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
907,500,2021-12-26,1,0,2,0,80,4,19600,3,102375,140
908,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
909,500,2022-01-02,1,0,2,0,80,4,19600,3,102375,140
910,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
911,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
912,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
913,2000,2021-12-26,0,0,14,0,20,6,19600,3,109500,223
914,3,2021-12-26,1,0,14,0,20,4,29.4,3,45990,96
915,3,2022-01-02,1,0,14,0,20,4,29.4,3,45990,96
916,3,2022-01-09,1,0,14,0,20,4,29.4,3,45990,96
917,3,2021-12-26,1,0,14,0,20,4,29.4,3,45990,96
918,3,2022-01-02,1,0,14,0,20,4,29.4,3,45990,96
919,3,2022-01-09,1,0,14,0,20,4,29.4,3,45990,96
920,70,2021-12-26,0,0,14,0,20,2,686,2,70800,68
921,250000,2021-12-26,0,0,11,0,30,14,3675000,3,199800,108
922,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
923,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
924,150,2021-12-26,1,0,15,0,25,5,1837.5,3,68040,36
925,150,2022-01-02,1,0,15,0,25,5,1837.5,3,68040,36
926,70,2021-12-27,0,0,14,0,20,2,686,2,70800,68
927,150,2021-12-27,1,0,15,0,25,5,1837.5,3,68040,36
928,150,2022-01-03,1,0,15,0,25,5,1837.5,3,68040,36
929,2000,2021-12-27,0,0,14,0,20,6,19600,3,109500,223
930,3,2021-12-27,1,0,14,0,20,4,29.4,3,45990,96
931,3,2022-01-03,1,0,14,0,20,4,29.4,3,45990,96
932,3,2022-01-10,1,0,14,0,20,4,29.4,3,45990,96
